gene,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Colon_Transverse_Mixed_Cell,Colon_Transverse_Mucosa,Colon_Transverse_Muscularis,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Kidney_Medulla,Liver,Liver_Hepatocyte,Liver_Mixed_Cell,Liver_Portal_Tract,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pancreas_Acini,Pancreas_Islets,Pancreas_Mixed_Cell,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,Small_Intestine_Terminal_Ileum_Mixed_Cell,Spleen,Stomach,Stomach_Mixed_Cell,Stomach_Mucosa,Stomach_Muscularis,Testis,Thyroid,Uterus,Vagina,Whole_Blood
CYP2B6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016586,0.0144475,0.0,0.016734,2.36505,4.69342,9.28047,0.473025,0.0,0.0,0.0,0.0,0.0,0.0,5.33832,1.04442,121.764,21.8876,23.0162,17.6269,0.0731515,0.0,0.0,0.0,0.009962,0.0129715,0.019826,0.021178,0.0193465,0.014086,0.012816,0.019868,0.0,5.67608,0.284174,14.3391,0.012268,0.008128,0.0,0.0,0.0,0.141707,0.0,0.012265,0.0167545,0.010001
CYP2C19,0.0,0.012541,0.0,0.0,0.0,0.0,0.0,0.009916,0.051988,0.014822,0.03267,0.0717175,0.0354705,0.038217,0.010103,0.016251,0.014765,0.0106455,0.0247545,0.010962,0.0,0.0,0.007547,1.62213,0.0,0.0,0.257575,0.653488,0.904016,0.063574,0.0,3.80583,0.0,0.0,0.0,0.0,0.0247705,0.017303,15.7896,9.75945,3.93558,4.96568,0.056856,0.054794,0.0,0.0,0.0,0.015072,0.0,0.0,0.0308915,0.014093,0.005973,0.621201,0.456512,4.92932,0.214211,6.1275,0.0,1.71316,3.32392,2.7235,0.006297,0.049663,0.0,0.0,1.05137,0.0
CYP2C9,0.0416605,0.067439,0.019776,0.0216385,0.0288105,0.0,0.017426,0.0,0.0,0.0,0.018803,0.0379755,0.009086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483175,0.0,0.017892,1.29693,0.017766,0.026656,0.882642,3.32538,6.09477,0.388833,0.037143,4.88298,0.031191,0.0,0.009621,0.0112975,1.97179,0.541805,427.581,199.617,187.699,61.9199,0.187144,0.144661,0.0,0.02356,0.020657,0.0815445,0.072203,0.073228,0.218708,0.038873,0.0258725,1.03649,0.653391,14.0329,0.859061,25.024,0.02721,6.63069,20.6659,22.649,0.0849355,0.090282,0.047804,0.021373,1.12234,0.019921
CYP2D6,1.52487,1.4069,1.08547,1.02816,1.15548,0.797948,1.94825,1.50314,1.89262,2.8421,6.45079,8.97894,2.59464,1.67875,1.58844,3.50349,4.01876,2.31908,1.69268,1.66902,2.15386,0.340892,1.4905,3.79616,3.4484,1.64091,2.79915,3.5763,5.42088,2.45058,1.229,3.00966,1.19589,3.9528,0.694134,0.329375,2.63471,3.46797,223.886,194.993,202.175,39.1418,2.52167,2.85965,0.353166,3.84317,5.79746,1.21826,1.45461,4.66112,1.26802,8.90574,5.95218,3.58965,3.14292,9.85856,8.6055,12.1509,3.80349,1.88353,2.12486,1.88132,1.27157,8.20459,9.75767,3.506,3.89485,1.19001
DPYD,22.5748,23.0187,10.701,14.452,21.57,20.4832,16.993,1.61289,1.34584,1.39397,0.531458,0.616922,1.39519,1.57162,2.03811,2.61086,1.51854,1.39388,7.75954,3.23478,18.3861,40.2126,7.25829,18.6898,18.6502,16.1432,8.86417,5.34574,2.39587,7.69017,13.5924,13.03,12.6442,18.333,5.70029,2.30114,3.3911,4.09496,11.7252,8.31567,8.92387,17.6241,28.8703,12.4862,2.4016,19.4671,20.0864,2.95038,1.53821,1.50585,2.06035,7.4469,9.975,5.70472,6.13349,11.7992,7.53592,9.31449,18.8943,5.42783,4.42683,2.01087,8.23682,2.85168,14.8136,18.7073,21.276,21.1543
SLCO1B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125145,0.0,0.0,0.0,0.0,0.0089535,0.035403,0.0,0.0,0.013831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.478,57.1539,91.5892,28.9814,0.0,0.029155,0.0,0.058248,0.0,0.0,0.020069,0.0,0.005379,0.022049,0.0,0.0,0.0,0.0,0.0,0.0327985,0.0,0.0,0.0,0.0,0.0,0.201403,0.0,0.0,0.0,0.0
