drug,gene,main_genotype_effect,main_genotype_p,gxe_interaction,gxe_pvalue,significant_gxe,clinical_action
Capecitabine,DPYD,0.778095791133632,6.014197796333354e-53,-1.24791163402858,7.727072487648584e-08,True,Significant dose reduction
Fluorouracil,DPYD,0.9497562001858628,3.3519960334562437e-74,-1.1173484155489566,2.6273915847331604e-06,True,Dose reduction required
Codeine,CYP2D6,1.2045044292823903,3.5766340523780273e-107,-0.9836098478750738,8.132138334853822e-05,True,Avoid in poor metabolizers
Phenytoin,CYP2C9,1.1017104800549002,4.724706476480866e-92,-0.6724781349441749,0.00627769038803882,True,Monitor levels closely
Clopidogrel,CYP2C19,1.3171624177412702,1.993442155141598e-118,-0.6435707911797462,0.012847393719227211,True,Alternative therapy recommended
Warfarin,CYP2C9,1.227804641268426,1.3220255237681746e-102,-0.4801137433264695,0.0646362040927802,False,Dose adjustment needed
Tamoxifen,CYP2D6,1.4653270924278428,5.989646839752386e-135,-0.4070468266623079,0.12940870705953586,False,Consider aromatase inhibitor
Simvastatin,SLCO1B1,1.6799441781350812,2.8103364340336567e-151,-0.437411928103174,0.13184987851087515,False,Consider alternative statin
Atorvastatin,SLCO1B1,1.7388905089118378,1.054419379914443e-143,-0.32166401399861577,0.2955764806218082,False,Use pravastatin instead
